tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth1, link-type EN10MB (Ethernet), capture size 65535 bytes
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth2, link-type EN10MB (Ethernet), capture size 65535 bytes
22:21:29.687905 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:31.691163 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:33.693570 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:35.695832 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:37.699251 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:39.701549 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:41.703808 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:43.707296 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:45.709703 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:47.713136 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:49.715505 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:51.717909 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:53.721241 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:55.723517 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:57.726757 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:59.730056 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:01.732352 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:03.735647 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:05.737880 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:07.741125 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:09.743378 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:11.746574 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:13.749820 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:15.752988 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:17.756207 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:19.758659 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:21.759091 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:23.760893 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:25.764007 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:27.767201 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:29.770436 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:31.772697 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:33.774947 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:35.778138 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:37.781358 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:39.784584 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:41.786833 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:43.790050 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:45.792176 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:47.794490 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:49.796715 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:51.798837 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:53.802087 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9eSTP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:43.707259 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:45.709666 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:47.713099 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:49.715468 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:51.717872 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:53.721207 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:55.723483 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:57.726724 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:59.730022 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:22:01.732318 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:22:03.735613 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:22:05.737846 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
